track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Celebration,Kool & The Gang,3K7Q9PHUWPTaknlbFPThn2,https://api.spotify.com/v1/tracks/3K7Q9PHUWPTaknlbFPThn2,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,121.632,0.906
Get Down On It - Single Version,Kool & The Gang,4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/tracks/4yKZACkuudvfd600H2dQie,0.205,0.879,0.626,6.07E-05,0.056,-6.344,0.0604,110.864,0.968
Never Gonna Give You Up,Rick Astley,4cOdK2wGLETKBW3PvgPWqT,https://api.spotify.com/v1/tracks/4cOdK2wGLETKBW3PvgPWqT,0.115,0.721,0.939,3.79E-05,0.108,-11.823,0.0376,113.309,0.914
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,0.876
Lean On Me,Cheat Codes,5acSb48zFAcXTdL5Wsk8xx,https://api.spotify.com/v1/tracks/5acSb48zFAcXTdL5Wsk8xx,0.0703,0.686,0.738,0,0.0505,-5.802,0.287,101.829,0.45
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,0.225,0.692,0.711,0,0.12,-7.498,0.0317,125.135,0.875
Eye of the Tiger,Survivor,2KH16WveTQWT6KOG9Rg6e2,https://api.spotify.com/v1/tracks/2KH16WveTQWT6KOG9Rg6e2,0.132,0.817,0.599,0.000311,0.0873,-9.249,0.0328,108.873,0.548
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/tracks/623rRTKwGmgjH6sjE9uWLh,0.0655,0.65,0.82,0.00274,0.215,-10.9,0.0356,135.982,0.757
Wake Me Up Before You Go-Go,Wham!,0ikz6tENMONtK6qGkOrU3c,https://api.spotify.com/v1/tracks/0ikz6tENMONtK6qGkOrU3c,0.271,0.62,0.573,0,0.0607,-11.893,0.0423,81.548,0.897
Uptown Girl,Billy Joel,5zA8vzDGqPl2AzZkEYQGKh,https://api.spotify.com/v1/tracks/5zA8vzDGqPl2AzZkEYQGKh,0.0755,0.701,0.944,0,0.601,-2.986,0.0455,128.993,0.792
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,7Bc0S4rnNF06apWGfK2S3G,https://api.spotify.com/v1/tracks/7Bc0S4rnNF06apWGfK2S3G,0.142,0.723,0.889,0.000334,0.0941,-5.077,0.0467,118.833,0.831
We Didn't Start the Fire,Billy Joel,3Cx4yrFaX8CeHwBMReOWXI,https://api.spotify.com/v1/tracks/3Cx4yrFaX8CeHwBMReOWXI,0.0771,0.712,0.967,0,0.356,-5.206,0.047,145.024,0.895
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,17i5jLpzndlQhbS4SrTd0B,https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B,0.89,0.275,0.157,0.842,0.186,-18.752,0.0636,73.289,0.304
Big Enough,Kirin J Callinan,01u01w4wPZ4eYzm23cKmev,https://api.spotify.com/v1/tracks/01u01w4wPZ4eYzm23cKmev,0.0114,0.502,0.524,8.11E-06,0.0456,-8.413,0.0655,125.062,0.183
All Star,Smash Mouth,3cfOd4CMv2snFaKAnMdnvK,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,0.0395,0.731,0.867,0,0.0861,-5.881,0.032,104.019,0.776
"Take Me Home, Country Roads",John Denver,1QbOvACeYanja5pbnJbAmk,https://api.spotify.com/v1/tracks/1QbOvACeYanja5pbnJbAmk,0.546,0.38,0.43,1.71E-05,0.188,-12.564,0.0288,82.204,0.547
Piano Man,Billy Joel,70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ,0.605,0.331,0.55,3.96E-06,0.192,-6.483,0.0272,177.734,0.429
Hips Don't Lie (feat. Wyclef Jean),Shakira,3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V,0.284,0.778,0.824,0,0.405,-5.892,0.0707,100.024,0.758
Darkside,Alan Walker,6SRWhUJcD2YKahCwHavz3X,https://api.spotify.com/v1/tracks/6SRWhUJcD2YKahCwHavz3X,0.131,0.43,0.606,0,0.173,-5.115,0.0431,169.988,0.123
On My Way,Alan Walker,4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,0.0209,0.509,0.689,0,0.301,-4.929,0.102,170.087,0.297
High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,0.193,0.579,0.904,0,0.064,-2.729,0.0618,82.014,0.681
Emperor's New Clothes,Panic! At The Disco,3px2rAPu74ltbkf9eZsZ8h,https://api.spotify.com/v1/tracks/3px2rAPu74ltbkf9eZsZ8h,0.00302,0.562,0.904,0,0.0433,-4.947,0.0807,94.481,0.651
"Hey Look Ma, I Made It",Panic! At The Disco,22oEJW6r2rMb9z4IntfyEa,https://api.spotify.com/v1/tracks/22oEJW6r2rMb9z4IntfyEa,0.0137,0.577,0.833,0,0.121,-3.337,0.0695,107.936,0.58
Firework,Katy Perry,1mXuMM6zjPgjL4asbBsgnt,https://api.spotify.com/v1/tracks/1mXuMM6zjPgjL4asbBsgnt,0.141,0.638,0.832,0,0.113,-5.039,0.049,124.071,0.648
Somebody That I Used To Know,Gotye,1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/tracks/1qDrWA6lyx8cLECdZE7TV7,0.548,0.865,0.521,0.000115,0.0989,-6.932,0.0371,129.059,0.748
Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,https://api.spotify.com/v1/tracks/7w87IxuO7BDcJ3YUqCyMTT,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,0.965
Let Her Go,Passenger,7DFNE7NO0raLIUbgzY2rzm,https://api.spotify.com/v1/tracks/7DFNE7NO0raLIUbgzY2rzm,0.385,0.509,0.538,0,0.104,-7.335,0.0572,75.089,0.244
Me And My Broken Heart - Lovelife Remix,Rixton,5NWbnAkvS38gu5tHZQF7df,https://api.spotify.com/v1/tracks/5NWbnAkvS38gu5tHZQF7df,0.0112,0.612,0.654,2.85E-05,0.119,-6.601,0.0478,119.986,0.557
Part Of Me,Katy Perry,6xgIaYDPq1b47YDbakitWQ,https://api.spotify.com/v1/tracks/6xgIaYDPq1b47YDbakitWQ,0.000236,0.672,0.918,0,0.0668,-4.605,0.036,130.042,0.772
The One That Got Away - Acoustic,Katy Perry,256321EGnc5emXxG3do9OR,https://api.spotify.com/v1/tracks/256321EGnc5emXxG3do9OR,0.665,0.711,0.441,0,0.0939,-11.613,0.0387,123.942,0.323
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,55nMnifaQWKe3f9cbwOXwx,https://api.spotify.com/v1/tracks/55nMnifaQWKe3f9cbwOXwx,0.00733,0.69,0.78,0.00183,0.0729,-4.446,0.0594,126.07,0.238
Together,Marshmello,6kwH41LJ6hfxlGn2c4oh6Y,https://api.spotify.com/v1/tracks/6kwH41LJ6hfxlGn2c4oh6Y,0.00114,0.567,0.703,0.921,0.101,-2.08,0.0311,142.019,0.309
Take It Back,Marshmello,2D6VbgcGFSBhhZJHbVAN1Q,https://api.spotify.com/v1/tracks/2D6VbgcGFSBhhZJHbVAN1Q,0.0172,0.591,0.909,0.694,0.743,-4.376,0.0542,142.065,0.192
Moving On,Marshmello,6Ehy8wRUYjAZcMMRCxMZVM,https://api.spotify.com/v1/tracks/6Ehy8wRUYjAZcMMRCxMZVM,0.00286,0.687,0.799,0.0565,0.21,-1.498,0.0354,142,0.67
Fly,Marshmello,2HO0uCyq8jOveEzvmo4JEu,https://api.spotify.com/v1/tracks/2HO0uCyq8jOveEzvmo4JEu,0.000639,0.63,0.9,0.852,0.203,-3.955,0.0387,134.988,0.155
Robot Love,Klaypex,718lC48FqA6liN6xSgBUhm,https://api.spotify.com/v1/tracks/718lC48FqA6liN6xSgBUhm,0.0468,0.705,0.924,0.0466,0.573,-2.975,0.0438,128.066,0.307
